packet_size,apu_timestamp,rpu_timestamp,delta_ticks,delta_us
16,1395804080,1395804207,127,1.270
16,1395825693,1395825826,133,1.330
16,1395847293,1395847448,155,1.550
16,1395868883,1395869019,136,1.360
16,1395890457,1395890643,186,1.860
16,1395912035,1395912218,183,1.830
16,1395933620,1395933765,145,1.450
16,1395955217,1395955387,170,1.700
16,1395976806,1395976958,152,1.520
16,1395998405,1395998531,126,1.260
16,1396020013,1396020150,137,1.370
16,1396041588,1396041722,134,1.340
16,1396063175,1396063343,168,1.680
16,1396084770,1396084914,144,1.440
16,1396107381,1396107517,136,1.360
16,1396129047,1396129184,137,1.370
16,1396150628,1396150755,127,1.270
16,1396172215,1396172376,161,1.610
16,1396193799,1396193953,154,1.540
16,1396215408,1396215551,143,1.430
16,1396236999,1396237126,127,1.270
16,1396258594,1396258744,150,1.500
16,1396280189,1396280316,127,1.270
16,1396301767,1396301937,170,1.700
16,1396323362,1396323508,146,1.460
32,1396348186,1396348340,154,1.540
32,1396369871,1396370011,140,1.400
32,1396391454,1396391627,173,1.730
32,1396413049,1396413199,150,1.500
32,1396434649,1396434821,172,1.720
32,1396456237,1396456394,157,1.570
32,1396477833,1396478019,186,1.860
32,1396499415,1396499567,152,1.520
32,1396521015,1396521188,173,1.730
32,1396542606,1396542759,153,1.530
32,1396564195,1396564331,136,1.360
32,1396585805,1396585952,147,1.470
32,1396607379,1396607523,144,1.440
32,1396628955,1396629095,140,1.400
32,1396650569,1396650716,147,1.470
32,1396672148,1396672337,189,1.890
32,1396693745,1396693891,146,1.460
32,1396715337,1396715513,176,1.760
32,1396736947,1396737084,137,1.370
32,1396758529,1396758705,176,1.760
32,1396780111,1396780277,166,1.660
32,1396801684,1396801848,164,1.640
32,1396823292,1396823469,177,1.770
32,1396844902,1396845040,138,1.380
32,1396866511,1396866662,151,1.510
32,1396888123,1396888286,163,1.630
32,1396909871,1396910006,135,1.350
32,1396931483,1396931680,197,1.970
32,1396953099,1396953255,156,1.560
32,1396974695,1396974853,158,1.580
32,1396996287,1396996425,138,1.380
32,1397017885,1397018046,161,1.610
32,1397039479,1397039617,138,1.380
32,1397061057,1397061239,182,1.820
32,1397082631,1397082809,178,1.780
32,1397104222,1397104381,159,1.590
32,1397125823,1397126003,180,1.800
32,1397147408,1397147576,168,1.680
32,1397169014,1397169201,187,1.870
32,1397190596,1397190749,153,1.530
32,1397212200,1397212372,172,1.720
32,1397233792,1397233941,149,1.490
32,1397255384,1397255563,179,1.790
32,1397276998,1397277134,136,1.360
32,1397298566,1397298705,139,1.390
32,1397320175,1397320327,152,1.520
32,1397341757,1397341898,141,1.410
32,1397363337,1397363519,182,1.820
32,1397384942,1397385075,133,1.330
32,1397406529,1397406695,166,1.660
32,1397428118,1397428266,148,1.480
32,1397449711,1397449887,176,1.760
32,1397471527,1397471660,133,1.330
32,1397493125,1397493282,157,1.570
32,1397514713,1397514853,140,1.400
32,1397536294,1397536475,181,1.810
32,1397557875,1397558047,172,1.720
32,1397579463,1397579617,154,1.540
32,1397601060,1397601238,178,1.780
32,1397622656,1397622812,156,1.560
32,1397644221,1397644363,142,1.420
32,1397665799,1397665934,135,1.350
32,1397687402,1397687556,154,1.540
32,1397709155,1397709329,174,1.740
32,1397730759,1397730900,141,1.410
32,1397752357,1397752521,164,1.640
32,1397773951,1397774092,141,1.410
32,1397795574,1397795714,140,1.400
32,1397817177,1397817336,159,1.590
32,1397838767,1397838907,140,1.400
32,1397860369,1397860528,159,1.590
32,1397881959,1397882152,193,1.930
32,1397903570,1397903727,157,1.570
32,1397925173,1397925325,152,1.520
32,1397946739,1397946896,157,1.570
32,1397968321,1397968467,146,1.460
32,1397989915,1397990089,174,1.740
32,1398011740,1398011912,172,1.720
32,1398033318,1398033483,165,1.650
32,1398054911,1398055054,143,1.430
32,1398076534,1398076676,142,1.420
